Month,max_ratio,CLI,BCI,CCI,Employment Rate,CPI,LTI Rate,PPI,STI Rate,Unemployment Rate,TIME_ORIG,TIME+3M,TIME+6M,TIME+12M
2016-01-01,4.573529411764706,0.41549999999999443,-0.22597000000000378,0.9912000000000063,-1.4890000000000043,-0.17636000000000251,1.94,0.08079999999999643,0.13,5.4,2015-04-01,2015-07-01,2015-10-01,2016-04-01
2016-02-01,5.147058823529412,0.3059999999999974,-0.16427000000000191,0.9035999999999973,-1.1829999999999927,0.332499999999996,2.2,1.428200000000004,0.15,5.6,2015-05-01,2015-08-01,2015-11-01,2016-05-01
2016-03-01,5.036764705882353,0.18540000000000134,-0.17280999999999835,0.9189999999999969,-1.1839999999999975,0.6838999999999942,2.36,1.805400000000006,0.18,5.3,2015-06-01,2015-09-01,2015-12-01,2016-06-01
2016-04-01,5.330882352941177,0.024600000000006617,-0.3108399999999989,0.7939999999999969,-1.1699999999999875,0.6907000000000068,2.32,1.5899,0.19,5.2,2015-07-01,2015-10-01,2016-01-01,2016-07-01
2016-05-01,4.926470588235294,-0.16383999999999332,-0.5155500000000046,0.5875000000000057,-0.8189999999999884,0.5481000000000051,2.17,0.7814999999999941,0.26,5.1,2015-08-01,2015-11-01,2016-02-01,2016-08-01
2016-06-01,4.466911764705882,-0.3479899999999958,-0.7368699999999961,0.4013999999999953,-1.1740000000000066,0.3914999999999935,2.17,-0.6736800000000045,0.27,5.0,2015-09-01,2015-12-01,2016-03-01,2016-09-01
2016-07-01,4.73529411764706,-0.497799999999998,-0.9373800000000045,0.4333000000000027,-0.7539999999999907,0.3464000000000027,2.07,-0.9970299999999952,0.25,5.0,2015-10-01,2016-01-01,2016-04-01,2016-10-01
2016-08-01,4.1911764705882355,-0.6216399999999993,-1.098240000000004,0.560299999999998,-0.5370000000000061,0.13460000000000605,2.26,-1.4281799999999976,0.3,5.1,2015-11-01,2016-02-01,2016-05-01,2016-11-01
2016-09-01,4.79779411764706,-0.7314099999999968,-1.1551500000000061,0.6659999999999968,0.1279999999999859,-0.207579999999993,2.24,-2.559960000000004,0.54,5.0,2015-12-01,2016-03-01,2016-06-01,2016-12-01
2016-10-01,5.088235294117647,-0.8248399999999947,-1.0647500000000036,0.6803000000000026,0.6529999999999916,-0.04260999999999626,2.09,-3.152789999999996,0.57,4.8,2016-01-01,2016-04-01,2016-07-01,2017-01-01
2016-11-01,4.779411764705882,-0.8870699999999943,-0.8386500000000012,0.6396000000000015,0.938999999999993,0.039699999999996294,1.78,-3.691730000000007,0.54,4.9,2016-02-01,2016-05-01,2016-08-01,2017-02-01
2016-12-01,4.558823529411765,-0.9065099999999973,-0.588390000000004,0.5961999999999961,1.2179999999999893,0.47039999999999793,1.89,-3.3683599999999956,0.55,5.0,2016-03-01,2016-06-01,2016-09-01,2017-03-01
2017-01-01,5.838235294117647,-0.9011899999999997,-0.45601000000000624,0.620199999999997,1.0740000000000123,0.9467999999999961,1.81,-2.7216399999999936,0.55,5.1,2016-04-01,2016-07-01,2016-10-01,2017-04-01
