"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-01",101.4229,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-02",101.4028,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-03",101.2389,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-04",100.964,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-05",100.8017,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-06",100.8396,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-07",101.0415,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-08",101.2096,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-09",101.3838,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-10",101.5229,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-11",101.3309,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1973-12",100.7186,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-01",99.84569,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-02",99.43211,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-03",99.52735,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-04",99.92393,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-05",100.2124,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-06",100.2865,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-07",100.205,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-08",100.1175,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-09",100.0452,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-10",99.96887,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-11",99.90084,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1974-12",99.8111,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-01",99.69533,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-02",99.66467,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-03",99.61063,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-04",99.53629,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-05",99.46008,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-06",99.33984,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-07",99.149,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-08",98.99689,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-09",98.86864,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-10",98.77739,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-11",98.89246,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1975-12",99.3301,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-01",100.0384,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-02",100.5098,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-03",100.5759,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-04",100.3868,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-05",100.1945,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-06",100.0911,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-07",100.0514,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-08",100.0357,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-09",100.0295,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-10",100.0599,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-11",100.2008,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1976-12",100.5434,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-01",101.0549,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-02",101.386,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-03",101.4118,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-04",101.201,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-05",100.9901,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-06",100.7932,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-07",100.6128,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-08",100.4866,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-09",100.3671,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-10",100.2478,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-11",100.2828,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1977-12",100.6055,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-01",101.1432,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-02",101.4448,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-03",101.3454,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-04",100.9652,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-05",100.6584,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-06",100.4923,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-07",100.4031,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-08",100.3627,
"NLD","CCI","AMPLITUD","LTRENDIDX","M","1978-09",100.317,
