LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
TUR,CPI,TOT,IDX2015,M,2013-04,84.32949,
TUR,CPI,TOT,IDX2015,M,2013-05,84.45229,
TUR,CPI,TOT,IDX2015,M,2013-06,85.09699,
TUR,CPI,TOT,IDX2015,M,2013-07,85.36179,
TUR,CPI,TOT,IDX2015,M,2013-08,85.27352,
TUR,CPI,TOT,IDX2015,M,2013-09,85.9259,
TUR,CPI,TOT,IDX2015,M,2013-10,87.47242,
TUR,CPI,TOT,IDX2015,M,2013-11,87.48009,
TUR,CPI,TOT,IDX2015,M,2013-12,87.88303,
TUR,CPI,TOT,IDX2015,M,2014-01,89.62143,
TUR,CPI,TOT,IDX2015,M,2014-02,90.00518,
TUR,CPI,TOT,IDX2015,M,2014-03,91.01829,
TUR,CPI,TOT,IDX2015,M,2014-04,92.24245,
TUR,CPI,TOT,IDX2015,M,2014-05,92.60702,
TUR,CPI,TOT,IDX2015,M,2014-06,92.89484,
TUR,CPI,TOT,IDX2015,M,2014-07,93.31696,
TUR,CPI,TOT,IDX2015,M,2014-08,93.40522,
TUR,CPI,TOT,IDX2015,M,2014-09,93.5357,
TUR,CPI,TOT,IDX2015,M,2014-10,95.31247,
TUR,CPI,TOT,IDX2015,M,2014-11,95.48516,
TUR,CPI,TOT,IDX2015,M,2014-12,95.06303,
TUR,CPI,TOT,IDX2015,M,2015-01,96.11067,
TUR,CPI,TOT,IDX2015,M,2015-02,96.79759,
TUR,CPI,TOT,IDX2015,M,2015-03,97.94501,
TUR,CPI,TOT,IDX2015,M,2015-04,99.54142,
TUR,CPI,TOT,IDX2015,M,2015-05,100.1017,
TUR,CPI,TOT,IDX2015,M,2015-06,99.58746,
TUR,CPI,TOT,IDX2015,M,2015-07,99.67573,
TUR,CPI,TOT,IDX2015,M,2015-08,100.0748,
TUR,CPI,TOT,IDX2015,M,2015-09,100.969,
TUR,CPI,TOT,IDX2015,M,2015-10,102.5385,
TUR,CPI,TOT,IDX2015,M,2015-11,103.2216,
TUR,CPI,TOT,IDX2015,M,2015-12,103.4365,
TUR,CPI,TOT,IDX2015,M,2016-01,105.3169,
TUR,CPI,TOT,IDX2015,M,2016-02,105.2939,
TUR,CPI,TOT,IDX2015,M,2016-03,105.2516,
